x,ABP
26.86,98.041
26.880000000000003,97.092
26.9,96.234
26.92,95.382
26.939999999999998,94.513
26.96,93.646
26.980000000000004,92.805
27,91.999
27.020000000000003,91.225
27.04,90.474
27.060000000000002,89.738
27.080000000000002,89.017
27.1,88.311
27.12,87.621
27.14,86.948
27.16,86.29
27.180000000000003,85.647
27.2,85.018
27.220000000000002,84.401
27.24,83.796
27.26,83.203
27.280000000000005,82.622
27.3,82.053
27.32,81.494
27.34,80.945
27.36,80.406
27.380000000000003,85.09
27.4,96.329
27.42,106.231
27.439999999999998,113.819
27.46,118.503
27.480000000000004,119.836
27.5,117.674
27.520000000000003,112.152
27.54,105.31
27.560000000000002,103.716
27.580000000000002,102.175
27.6,100.574
27.62,99.152
27.64,98.001
27.66,97.058
27.680000000000003,96.201
27.7,95.349
27.720000000000002,94.48
27.74,93.614
27.76,92.773
27.780000000000005,91.969
27.8,91.196
27.82,90.445
27.84,89.71
27.86,88.99
27.880000000000003,88.284
27.9,87.595
27.92,86.922
27.939999999999998,86.265
27.96,85.623
27.980000000000004,84.994
28,84.377
28.020000000000003,83.773
28.04,83.181
28.060000000000002,82.6
28.080000000000002,82.031
28.1,81.472
28.12,80.924
28.14,80.385
28.16,85.511
28.180000000000003,96.75
28.2,106.574
28.220000000000002,114.06
28.24,118.619
28.26,119.817
28.280000000000005,117.52
28.3,111.873
28.32,105.219
28.34,103.66
28.36,102.112
28.380000000000003,100.515
28.4,99.102
28.42,97.962
28.439999999999998,97.024
28.46,96.169
28.480000000000004,95.315
28.5,94.446
28.520000000000003,93.58
28.54,92.742
28.560000000000002,91.938
28.580000000000002,91.166
28.6,90.416
28.62,89.682
28.64,88.962
28.66,88.257
28.680000000000003,87.569
28.7,86.897
28.720000000000002,86.24
28.74,85.598
28.76,84.969
28.780000000000005,84.353
28.8,83.75
28.82,83.158
28.84,82.578
28.86,82.009
28.880000000000003,81.451
28.9,80.902
28.92,80.364
28.939999999999998,85.939
28.96,97.169
28.980000000000004,106.913
29,114.296
29.020000000000003,118.731
29.04,119.793
29.060000000000002,117.361
29.080000000000002,111.589
29.1,105.128
29.12,103.602
29.14,102.048
29.16,100.453
29.180000000000003,99.051
29.2,97.921
29.220000000000002,96.989
29.24,96.134
29.26,95.28
29.280000000000005,94.411
29.3,93.546
29.32,92.708
29.34,91.907
29.36,91.136
29.380000000000003,90.386
29.4,89.653
29.42,88.933
29.439999999999998,88.229
29.46,87.541
29.480000000000004,86.87
29.5,86.214
29.520000000000003,85.572
29.54,84.944
29.560000000000002,84.329
29.580000000000002,83.725
29.6,83.134
29.62,82.555
29.64,81.986
29.66,81.428
29.680000000000003,80.88
29.7,80.342
29.720000000000002,86.374
29.74,97.585
29.76,107.249
29.780000000000005,114.527
29.8,118.837
29.82,119.763
29.84,117.197
29.86,111.3
29.880000000000003,105.052
29.9,103.546
29.92,101.986
29.939999999999998,100.396
29.96,99.003
29.980000000000004,97.883
30,96.956
30.020000000000003,96.103
30.04,95.248
30.060000000000002,94.378
30.080000000000002,93.514
30.1,92.678
30.12,91.877
30.14,91.107
30.16,90.358
30.180000000000003,89.625
30.2,88.906
30.220000000000002,88.203
30.24,87.515
30.26,86.845
30.280000000000005,86.189
30.3,85.548
30.32,84.921
30.34,84.305
30.36,83.703
30.380000000000003,83.112
30.4,82.533
30.42,81.965
30.439999999999998,81.407
30.46,80.86
